# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      
2.556737E+01        -1.064172E+02        9.480243E+00        
2.554441E+01        -1.061306E+02        9.454717E+00        
2.552146E+01        -1.058447E+02        9.429259E+00        
2.549853E+01        -1.055597E+02        9.403870E+00        
2.547563E+01        -1.052754E+02        9.378549E+00        
2.545274E+01        -1.049919E+02        9.353296E+00        
2.542988E+01        -1.047091E+02        9.328111E+00        
2.540703E+01        -1.044271E+02        9.302994E+00        
2.538421E+01        -1.041459E+02        9.277945E+00        
2.536141E+01        -1.038654E+02        9.252963E+00        
2.533862E+01        -1.035856E+02        9.228048E+00        
2.531586E+01        -1.033067E+02        9.203201E+00        
2.529312E+01        -1.030284E+02        9.178420E+00        
2.527040E+01        -1.027510E+02        9.153706E+00        
2.524770E+01        -1.024742E+02        9.129059E+00        
2.522502E+01        -1.021983E+02        9.104478E+00        
2.520236E+01        -1.019230E+02        9.079963E+00        
2.517972E+01        -1.016485E+02        9.055514E+00        
2.515710E+01        -1.013748E+02        9.031131E+00        
